Acute myocardial infarction,Cardiac dysrhythmias,0.16666666666666666
Chronic bronchitis,Pneumonitis due to solids and liquids,0.16666666666666666
Multiple myeloma and immunoproliferative neoplasms,Other diseases of lung,0.16666666666666666
Essential hypertension,Hypotension,0.16666666666666666
Disorders of fluid electrolyte and acid-base balance,Other diseases of lung,0.16666666666666666
Epilepsy and recurrent seizures,Other ill-defined and unknown causes of morbidity and mortality,0.16666666666666666
Purpura and other hemorrhagic conditions,Hypotension,0.16666666666666666
Essential hypertension,Pneumonitis due to solids and liquids,0.16666666666666666
Asthma,Pneumonitis due to solids and liquids,0.16666666666666666
Essential hypertension,Symptoms involving cardiovascular system,0.16666666666666666
Disorders of fluid electrolyte and acid-base balance,Purpura and other hemorrhagic conditions,0.16666666666666666
Heart failure,Symptoms involving digestive system,0.16666666666666666
Other forms of chronic ischemic heart disease,"Pneumonia, organism unspecified",0.16666666666666666
Essential hypertension,Acute kidney failure,0.16666666666666666
Pneumonia due to other specified organism,Other alveolar and parietoalveolar pneumonopathy,0.16666666666666666
Multiple myeloma and immunoproliferative neoplasms,Gastrointestinal hemorrhage,0.16666666666666666
Pneumonitis due to solids and liquids,Gastrointestinal hemorrhage,0.16666666666666666
Gastrointestinal hemorrhage,General symptoms,0.16666666666666666
Pneumonia due to other specified organism,"Pneumonia, organism unspecified",0.16666666666666666
Acute myocardial infarction,Symptoms involving digestive system,0.16666666666666666
Chronic bronchitis,Other ill-defined and unknown causes of morbidity and mortality,0.16666666666666666
Purpura and other hemorrhagic conditions,"Depressive disorder, not elsewhere classified",0.16666666666666666
Persistent mental disorders due to conditions classified elsewhere,Gastrointestinal hemorrhage,0.16666666666666666
Hypotension,Pneumonitis due to solids and liquids,0.16666666666666666
Hypotension,Other diseases of lung,0.16666666666666666
Encephalitis myelitis and encephalomyelitis,Symptoms involving cardiovascular system,0.16666666666666666
Other diseases of lung,Gastrointestinal hemorrhage,0.16666666666666666
Other forms of chronic ischemic heart disease,Gastrointestinal hemorrhage,0.16666666666666666
Multiple myeloma and immunoproliferative neoplasms,Purpura and other hemorrhagic conditions,0.16666666666666666
Septicemia,Other disorders of urethra and urinary tract,0.16666666666666666
Cardiac dysrhythmias,Asthma,0.16666666666666666
"Depressive disorder, not elsewhere classified",Other ill-defined and unknown causes of morbidity and mortality,0.16666666666666666
Purpura and other hemorrhagic conditions,Essential hypertension,0.16666666666666666
Purpura and other hemorrhagic conditions,Other disorders of urethra and urinary tract,0.16666666666666666
Acute myocardial infarction,Other disorders of gallbladder,0.16666666666666666
Gastrointestinal hemorrhage,Certain adverse effects not elsewhere classified,0.16666666666666666
Disorders of fluid electrolyte and acid-base balance,"Pneumonia, organism unspecified",0.16666666666666666
Purpura and other hemorrhagic conditions,Gastrointestinal hemorrhage,0.16666666666666666
Essential hypertension,General symptoms,0.16666666666666666
Cholelithiasis,Symptoms involving digestive system,0.16666666666666666
Chronic bronchitis,General symptoms,0.16666666666666666
Symptoms involving respiratory system and other chest symptoms,Other ill-defined and unknown causes of morbidity and mortality,0.16666666666666666
Multiple myeloma and immunoproliferative neoplasms,Other disorders of gallbladder,0.16666666666666666
Acute kidney failure,Symptoms involving respiratory system and other chest symptoms,0.16666666666666666
Cardiac dysrhythmias,Chronic kidney disease (ckd),0.16666666666666666
Essential hypertension,Pneumonia due to other specified organism,0.16666666666666666
Other forms of chronic ischemic heart disease,Acute kidney failure,0.16666666666666666
Hypotension,Symptoms involving cardiovascular system,0.16666666666666666
Multiple myeloma and immunoproliferative neoplasms,Chronic kidney disease (ckd),0.16666666666666666
Chronic kidney disease (ckd),Symptoms involving respiratory system and other chest symptoms,0.16666666666666666
"Depressive disorder, not elsewhere classified",Other alveolar and parietoalveolar pneumonopathy,0.16666666666666666
Cardiac dysrhythmias,Other disorders of gallbladder,0.16666666666666666
Cardiac dysrhythmias,Heart failure,0.16666666666666666
Cardiac dysrhythmias,Cholelithiasis,0.16666666666666666
Persistent mental disorders due to conditions classified elsewhere,Chronic bronchitis,0.16666666666666666
Hypotension,Other alveolar and parietoalveolar pneumonopathy,0.16666666666666666
Cardiac dysrhythmias,Other alveolar and parietoalveolar pneumonopathy,0.16666666666666666
